
Date - 2017-02-16 12:00:00, City - pune, Temperature - 286.67, Condition - clear sky
Date - 2017-02-16 15:00:00, City - pune, Temperature - 285.66, Condition - clear sky
Date - 2017-02-16 18:00:00, City - pune, Temperature - 277.05, Condition - clear sky
Date - 2017-02-16 21:00:00, City - pune, Temperature - 272.78, Condition - clear sky
Date - 2017-02-17 00:00:00, City - pune, Temperature - 273.341, Condition - broken clouds
Date - 2017-02-17 03:00:00, City - pune, Temperature - 275.568, Condition - light rain
Date - 2017-02-17 06:00:00, City - pune, Temperature - 276.478, Condition - moderate rain
Date - 2017-02-17 09:00:00, City - pune, Temperature - 276.67, Condition - light rain
Date - 2017-02-17 12:00:00, City - pune, Temperature - 278.253, Condition - light rain
Date - 2017-02-17 15:00:00, City - pune, Temperature - 276.455, Condition - light rain
Date - 2017-02-17 18:00:00, City - pune, Temperature - 275.639, Condition - light rain
Date - 2017-02-17 21:00:00, City - pune, Temperature - 275.459, Condition - light rain
Date - 2017-02-18 00:00:00, City - pune, Temperature - 275.035, Condition - light rain
Date - 2017-02-18 03:00:00, City - pune, Temperature - 274.965, Condition - light rain
Date - 2017-02-18 06:00:00, City - pune, Temperature - 274.562, Condition - light rain
Date - 2017-02-18 09:00:00, City - pune, Temperature - 275.648, Condition - light rain
Date - 2017-02-18 12:00:00, City - pune, Temperature - 277.927, Condition - clear sky
Date - 2017-02-18 15:00:00, City - pune, Temperature - 278.367, Condition - clear sky
Date - 2017-02-18 18:00:00, City - pune, Temperature - 273.797, Condition - clear sky
Date - 2017-02-18 21:00:00, City - pune, Temperature - 271.239, Condition - clear sky
Date - 2017-02-19 00:00:00, City - pune, Temperature - 269.553, Condition - clear sky
Date - 2017-02-19 03:00:00, City - pune, Temperature - 268.198, Condition - clear sky
Date - 2017-02-19 06:00:00, City - pune, Temperature - 267.295, Condition - clear sky
Date - 2017-02-19 09:00:00, City - pune, Temperature - 272.956, Condition - clear sky
Date - 2017-02-19 12:00:00, City - pune, Temperature - 277.422, Condition - clear sky
Date - 2017-02-19 15:00:00, City - pune, Temperature - 277.984, Condition - clear sky
Date - 2017-02-19 18:00:00, City - pune, Temperature - 272.459, Condition - clear sky
Date - 2017-02-19 21:00:00, City - pune, Temperature - 269.473, Condition - clear sky
Date - 2017-02-20 00:00:00, City - pune, Temperature - 268.793, Condition - clear sky
Date - 2017-02-20 03:00:00, City - pune, Temperature - 268.106, Condition - clear sky
Date - 2017-02-20 06:00:00, City - pune, Temperature - 267.655, Condition - clear sky
Date - 2017-02-20 09:00:00, City - pune, Temperature - 273.75, Condition - clear sky
Date - 2017-02-20 12:00:00, City - pune, Temperature - 279.302, Condition - clear sky
Date - 2017-02-20 15:00:00, City - pune, Temperature - 279.343, Condition - clear sky
Date - 2017-02-20 18:00:00, City - pune, Temperature - 274.443, Condition - few clouds
Date - 2017-02-20 21:00:00, City - pune, Temperature - 272.424, Condition - few clouds
